pool_rank,publication_number,selected_for_generation,mode,strategy,strategy_name,expected_question_count
1,EP-4633662-A1,yes,technical,1,random_any,1
2,EP-4630509-A1,yes,technical,1,random_any,1
3,EP-4634248-A1,yes,technical,1,random_any,1
4,EP-4634187-A1,yes,technical,1,random_any,1
5,EP-4634142-A1,yes,technical,1,random_any,1
6,EP-4633768-A2,yes,technical,1,random_any,1
7,EP-4633645-A1,yes,technical,1,random_any,1
8,EP-4633622-A2,yes,technical,1,random_any,1
9,EP-4634601-A1,yes,technical,1,random_any,1
10,EP-4630626-A1,yes,technical,1,random_any,1
11,EP-4630600-A1,yes,technical,1,random_any,1
12,EP-4633632-A1,yes,technical,1,random_any,1
13,EP-4634136-A1,yes,technical,1,random_any,1
14,EP-4634157-A1,yes,technical,2,random_missing,1
15,EP-4630574-A1,yes,technical,2,random_missing,1
16,EP-4634111-A1,yes,technical,2,random_missing,1
17,EP-4634596-A1,yes,technical,2,random_missing,1
18,EP-4634139-A1,yes,technical,2,random_missing,1
19,WO-2025153617-A3,yes,technical,2,random_missing,1
20,EP-4634251-A1,yes,technical,2,random_missing,1
21,EP-4634426-A1,yes,technical,2,random_missing,1
22,EP-4634729-A1,yes,technical,2,random_missing,1
23,EP-4626569-A1,yes,technical,2,random_missing,1
24,EP-4634394-A2,yes,technical,2,random_missing,1
25,EP-4634424-A1,yes,technical,2,random_missing,1
26,EP-4633602-A1,yes,technical,2,random_missing,1
27,EP-4634337-A1,yes,technical,3,random_existing,1
28,EP-4634128-A1,yes,technical,3,random_existing,1
29,EP-4633896-A1,yes,technical,3,random_existing,1
30,WO-2025215091-A1,yes,technical,3,random_existing,1
31,EP-4633599-A1,yes,technical,3,random_existing,1
32,EP-4633656-A1,yes,technical,3,random_existing,1
33,WO-2025208167-A1,yes,technical,3,random_existing,1
34,EP-4634396-A1,yes,technical,3,random_existing,1
35,EP-4633893-A1,yes,technical,3,random_existing,1
36,EP-4633462-A1,yes,technical,3,random_existing,1
37,EP-4633386-A1,yes,technical,3,random_existing,1
38,EP-4633970-A1,yes,technical,3,random_existing,1
39,EP-4633415-A1,yes,technical,4,all,4
40,EP-4633950-A1,yes,technical,4,all,4
41,EP-4634629-A1,yes,technical,4,all,4
42,EP-4633904-A1,no,,,,0
43,EP-4634280-A1,no,,,,0
44,EP-4633735-A1,no,,,,0
45,EP-4634425-A1,no,,,,0
46,EP-4630411-A1,no,,,,0
47,EP-4634366-A1,no,,,,0
48,EP-4634150-A1,no,,,,0
49,EP-4634241-A1,no,,,,0
50,EP-4633578-A1,no,,,,0
51,WO-2025201828-A1,no,,,,0
52,EP-4633969-A1,no,,,,0
53,EP-4633361-A1,no,,,,0
54,EP-4634249-A1,no,,,,0
55,EP-4633793-A2,no,,,,0
56,EP-4634438-A1,no,,,,0
57,EP-4634293-A1,no,,,,0
58,EP-4634288-A1,no,,,,0
59,EP-4634972-A1,no,,,,0
60,EP-4634668-A1,no,,,,0
61,EP-4633957-A1,no,,,,0
62,EP-4634263-A1,no,,,,0
63,EP-4633639-A1,no,,,,0
64,EP-4634341-A1,no,,,,0
65,EP-4630817-A1,no,,,,0
66,EP-4630479-A1,no,,,,0
67,EP-4634316-A1,no,,,,0
68,EP-4633664-A2,no,,,,0
69,EP-4634405-A1,no,,,,0
70,EP-4633791-A1,no,,,,0
71,WO-2025202090-A1,no,,,,0
72,EP-4634652-A1,no,,,,0
73,EP-4633671-A1,no,,,,0
74,EP-4634690-A1,no,,,,0
75,EP-4633458-A1,no,,,,0
76,WO-2025209785-A1,no,,,,0
77,WO-2025210100-A1,no,,,,0
78,EP-4634147-A1,no,,,,0
79,EP-4634297-A1,no,,,,0
80,EP-4634441-A1,no,,,,0
81,EP-4633959-A1,no,,,,0
82,EP-4633608-A1,no,,,,0
83,EP-4633962-A1,no,,,,0
84,EP-4633944-A1,no,,,,0
85,EP-4633650-A1,no,,,,0
86,EP-4634322-A1,no,,,,0
87,EP-4633740-A2,no,,,,0
88,EP-4634339-A1,no,,,,0
89,EP-4634328-A1,no,,,,0
90,EP-4634305-A1,no,,,,0
91,EP-4631114-A1,no,,,,0
92,EP-4634282-A1,no,,,,0
93,EP-4634967-A1,no,,,,0
94,EP-4633617-A1,no,,,,0
95,EP-4634235-A1,no,,,,0
96,WO-2025202328-A1,no,,,,0
97,EP-4633678-A1,no,,,,0
98,EP-4634963-A1,no,,,,0
99,EP-4634153-A1,no,,,,0
100,EP-4635011-A1,no,,,,0
101,EP-4633742-A2,no,,,,0
102,EP-4634299-A1,no,,,,0
103,EP-4634331-A1,no,,,,0
104,EP-4634252-A1,no,,,,0
105,EP-4633658-A1,no,,,,0
106,EP-4634329-A1,no,,,,0
107,EP-4633845-A1,no,,,,0
108,EP-4634403-A1,no,,,,0
109,EP-4634407-A1,no,,,,0
110,EP-4630589-A1,no,,,,0
111,EP-4633669-A2,no,,,,0
112,EP-4627215-A1,no,,,,0
113,WO-2025210293-A1,no,,,,0
114,EP-4633832-A1,no,,,,0
115,EP-4634117-A1,no,,,,0
116,EP-4633741-A2,no,,,,0
117,EP-4630745-A1,no,,,,0
118,EP-4633652-A2,no,,,,0
119,EP-4634257-A1,no,,,,0
120,EP-4634360-A2,no,,,,0
121,EP-4634430-A1,no,,,,0
122,WO-2025202525-A1,no,,,,0
123,EP-4634312-A1,no,,,,0
124,EP-4634201-A1,no,,,,0
125,EP-4634110-A1,no,,,,0
126,EP-4634302-A1,no,,,,0
127,EP-4634149-A1,no,,,,0
128,EP-4633590-A1,no,,,,0
129,WO-2025202528-A1,no,,,,0
130,EP-4633587-A1,no,,,,0
131,EP-4633679-A1,no,,,,0
132,EP-4634381-A1,no,,,,0
133,EP-4634254-A1,no,,,,0
134,EP-4634242-A1,no,,,,0
135,EP-4633733-A1,no,,,,0
136,EP-4634382-A1,no,,,,0
137,EP-4634268-A1,no,,,,0
138,EP-4634131-A1,no,,,,0
139,EP-4634267-A1,no,,,,0
140,EP-4634114-A1,no,,,,0
141,WO-2025201728-A1,no,,,,0
142,EP-4634440-A1,no,,,,0
143,EP-4633586-A1,no,,,,0
144,EP-4634210-A1,no,,,,0
145,EP-4634190-A1,no,,,,0
146,EP-4633385-A1,no,,,,0
147,EP-4630501-A1,no,,,,0
148,EP-4633466-A1,no,,,,0
149,EP-4633598-A1,no,,,,0
150,WO-2025201875-A1,no,,,,0
151,WO-2025210292-A1,no,,,,0
152,EP-4634327-A1,no,,,,0
153,WO-2025210118-A1,no,,,,0
154,EP-4634275-A1,no,,,,0
155,WO-2025214989-A1,no,,,,0
156,EP-4633980-A1,no,,,,0
157,EP-4633971-A1,no,,,,0
158,EP-4634372-A1,no,,,,0
159,EP-4634162-A1,no,,,,0
160,EP-4634231-A1,no,,,,0
161,EP-4633681-A1,no,,,,0
162,EP-4634250-A1,no,,,,0
163,EP-4626634-A1,no,,,,0
164,EP-4634379-A1,no,,,,0
165,EP-4633531-A1,no,,,,0
166,EP-4634670-A2,no,,,,0
167,WO-2025202313-A1,no,,,,0
168,EP-4634723-A1,no,,,,0
169,EP-4634301-A1,no,,,,0
170,WO-2025210101-A1,no,,,,0
171,EP-4633481-A1,no,,,,0
172,WO-2025202016-A1,no,,,,0
173,EP-4634134-A1,no,,,,0
174,EP-4633600-A1,no,,,,0
175,WO-2025202136-A1,no,,,,0
176,EP-4626383-A1,no,,,,0
177,EP-4634406-A1,no,,,,0
178,EP-4634203-A1,no,,,,0
179,EP-4633625-A2,no,,,,0
180,EP-4634208-A1,no,,,,0
181,EP-4633464-A1,no,,,,0
182,EP-4634292-A1,no,,,,0
183,EP-4633795-A2,no,,,,0
184,WO-2025214675-A1,no,,,,0
185,EP-4634330-A1,no,,,,0
186,EP-4634665-A1,no,,,,0
187,EP-4633642-A1,no,,,,0
188,WO-2025172628-A9,no,,,,0
189,EP-4633966-A1,no,,,,0
190,EP-4633606-A1,no,,,,0
191,EP-4634243-A1,no,,,,0
192,EP-4634232-A1,no,,,,0
193,EP-4626234-A1,no,,,,0
194,EP-4634276-A1,no,,,,0
195,EP-4633839-A1,no,,,,0
196,WO-2025215119-A1,no,,,,0
197,EP-4626907-A1,no,,,,0
198,WO-2025201605-A1,no,,,,0
199,WO-2025209960-A1,no,,,,0
200,EP-4633809-A1,no,,,,0
201,EP-4633675-A1,no,,,,0
202,EP-4630599-A1,no,,,,0
203,EP-4633676-A1,no,,,,0
204,EP-4634431-A2,no,,,,0
205,WO-2025172419-A3,no,,,,0
206,EP-4633379-A1,no,,,,0
207,EP-4634185-A1,no,,,,0
208,WO-2025201590-A1,no,,,,0
209,EP-4634233-A2,no,,,,0
210,EP-4633579-A1,no,,,,0
211,EP-4633580-A1,no,,,,0
212,EP-4634168-A1,no,,,,0
213,WO-2025215142-A1,no,,,,0
214,EP-4633612-A1,no,,,,0
215,EP-4634413-A1,no,,,,0
216,EP-4634364-A1,no,,,,0
217,EP-4634281-A1,no,,,,0
218,EP-4634375-A2,no,,,,0
219,EP-4634421-A1,no,,,,0
220,EP-4634318-A1,no,,,,0
221,EP-4633643-A1,no,,,,0
222,EP-4633830-A1,no,,,,0
223,EP-4634397-A1,no,,,,0
224,EP-4634320-A1,no,,,,0
225,EP-4634137-A1,no,,,,0
226,EP-4634215-A1,no,,,,0
227,EP-4634145-A1,no,,,,0
228,EP-4633576-A1,no,,,,0
229,EP-4634410-A1,no,,,,0
230,EP-4633663-A1,no,,,,0
231,EP-4634371-A1,no,,,,0
232,EP-4633894-A1,no,,,,0
233,EP-4626945-A1,no,,,,0
234,EP-4634362-A1,no,,,,0
235,EP-4634433-A1,no,,,,0
236,EP-4634395-A1,no,,,,0
237,WO-2025213285-A1,no,,,,0
238,EP-4634667-A2,no,,,,0
239,WO-2025214946-A1,no,,,,0
240,EP-4634264-A1,no,,,,0
241,EP-4630746-A1,no,,,,0
242,EP-4634432-A1,no,,,,0
243,EP-4633863-A2,no,,,,0
244,EP-4634260-A1,no,,,,0
245,EP-4634214-A1,no,,,,0
246,EP-4633673-A1,no,,,,0
247,EP-4634973-A1,no,,,,0
248,EP-4634296-A1,no,,,,0
249,EP-4633653-A1,no,,,,0
250,EP-4634324-A1,no,,,,0
251,EP-4633582-A1,yes,semantic,1,random_any,1
252,EP-4634165-A1,yes,semantic,1,random_any,1
253,EP-4633677-A1,yes,semantic,1,random_any,1
254,EP-4634246-A1,yes,semantic,1,random_any,1
255,EP-4634120-A1,yes,semantic,1,random_any,1
256,EP-4633638-A1,yes,semantic,1,random_any,1
257,EP-4633389-A1,yes,semantic,1,random_any,1
258,WO-2025209629-A1,yes,semantic,1,random_any,1
259,EP-4634132-A2,yes,semantic,1,random_any,1
260,EP-4634914-A1,yes,semantic,1,random_any,1
261,EP-4634285-A1,yes,semantic,1,random_any,1
262,EP-4634122-A1,yes,semantic,1,random_any,1
263,EP-4634365-A1,yes,semantic,1,random_any,1
264,WO-2025214709-A1,yes,semantic,2,random_missing,1
265,EP-4633426-A2,yes,semantic,2,random_missing,1
266,EP-4630604-A1,yes,semantic,2,random_missing,1
267,EP-4634118-A1,yes,semantic,2,random_missing,1
268,EP-4634404-A1,yes,semantic,2,random_missing,1
269,EP-4633465-A1,yes,semantic,2,random_missing,1
270,EP-4633680-A1,yes,semantic,2,random_missing,1
271,WO-2025201606-A1,yes,semantic,2,random_missing,1
272,EP-4634435-A1,yes,semantic,2,random_missing,1
273,EP-4634143-A1,yes,semantic,2,random_missing,1
274,EP-4634411-A1,yes,semantic,2,random_missing,1
275,EP-4634287-A1,yes,semantic,2,random_missing,1
276,EP-4633627-A1,yes,semantic,2,random_missing,1
277,EP-4634204-A1,yes,semantic,3,random_existing,1
278,EP-4633670-A1,yes,semantic,3,random_existing,1
279,WO-2025202163-A1,yes,semantic,3,random_existing,1
280,WO-2025214852-A1,yes,semantic,3,random_existing,1
281,WO-2025214996-A1,yes,semantic,3,random_existing,1
282,EP-4630123-A1,yes,semantic,3,random_existing,1
283,EP-4633660-A1,yes,semantic,3,random_existing,1
284,EP-4634646-A1,yes,semantic,3,random_existing,1
285,EP-4634294-A1,yes,semantic,3,random_existing,1
286,EP-4634436-A1,yes,semantic,3,random_existing,1
287,EP-4633761-A1,yes,semantic,3,random_existing,1
288,WO-2025215167-A1,yes,semantic,3,random_existing,1
289,EP-4626962-A1,yes,semantic,4,all,4
290,WO-2025201936-A1,yes,semantic,4,all,4
291,EP-4634597-A1,yes,semantic,4,all,4
292,EP-4634126-A1,no,,,,0
293,EP-4634261-A1,no,,,,0
294,WO-2025199660-A1,no,,,,0
295,EP-4633967-A1,no,,,,0
296,EP-4634129-A1,no,,,,0
297,EP-4633570-A1,no,,,,0
298,EP-4633375-A1,no,,,,0
299,WO-2025215089-A1,no,,,,0
300,EP-4634245-A1,no,,,,0
301,EP-4634353-A1,no,,,,0
302,EP-4634439-A1,no,,,,0
303,EP-4634133-A1,no,,,,0
304,EP-4634286-A1,no,,,,0
305,EP-4627120-A1,no,,,,0
306,EP-4634148-A1,no,,,,0
307,EP-4634325-A1,no,,,,0
308,WO-2025188174-A8,no,,,,0
309,EP-4633640-A1,no,,,,0
310,EP-4634247-A1,no,,,,0
311,EP-4634108-A1,no,,,,0
312,EP-4634178-A1,no,,,,0
313,WO-2025176263-A3,no,,,,0
314,EP-4634414-A1,no,,,,0
315,EP-4634283-A1,no,,,,0
316,EP-4633913-A1,no,,,,0
317,EP-4633960-A1,no,,,,0
318,EP-4634177-A1,no,,,,0
319,WO-2025214568-A1,no,,,,0
320,EP-4634255-A1,no,,,,0
321,WO-2025209612-A1,no,,,,0
322,EP-4634274-A1,no,,,,0
323,EP-4633360-A1,no,,,,0
324,EP-4634356-A1,no,,,,0
325,EP-4633594-A1,no,,,,0
326,EP-4634212-A1,no,,,,0
327,EP-4627024-A1,no,,,,0
328,WO-2025172538-A3,no,,,,0
329,EP-4633961-A1,no,,,,0
330,EP-4634163-A1,no,,,,0
331,EP-4634140-A2,no,,,,0
332,EP-4634277-A1,no,,,,0
333,WO-2025210155-A1,no,,,,0
334,EP-4634279-A1,no,,,,0
335,EP-4634244-A1,no,,,,0
336,EP-4633792-A1,no,,,,0
337,EP-4634304-A1,no,,,,0
338,EP-4634363-A1,no,,,,0
339,WO-2025201832-A1,no,,,,0
340,EP-4634298-A1,no,,,,0
341,EP-4634368-A1,no,,,,0
342,EP-4633684-A2,no,,,,0
343,EP-4630151-A1,no,,,,0
344,WO-2025209838-A1,no,,,,0
345,EP-4627881-A1,no,,,,0
346,EP-4634423-A1,no,,,,0
347,EP-4634964-A1,no,,,,0
348,WO-2025209952-A2,no,,,,0
349,EP-4634416-A1,no,,,,0
350,EP-4633644-A1,no,,,,0
351,EP-4634259-A1,no,,,,0
352,EP-4633785-A2,no,,,,0
353,EP-4634389-A1,no,,,,0
354,WO-2025214701-A1,no,,,,0
355,EP-4634307-A1,no,,,,0
356,EP-4634402-A1,no,,,,0
357,EP-4633812-A2,no,,,,0
358,EP-4634418-A1,no,,,,0
359,EP-4634742-A1,no,,,,0
360,EP-4633857-A1,no,,,,0
361,EP-4634367-A1,no,,,,0
362,EP-4633779-A1,no,,,,0
363,EP-4633732-A1,no,,,,0
364,EP-4634018-A1,no,,,,0
365,EP-4633581-A1,no,,,,0
366,WO-2025209914-A1,no,,,,0
367,EP-4633852-A1,no,,,,0
368,EP-4634273-A1,no,,,,0
369,WO-2025215118-A1,no,,,,0
370,EP-4634323-A1,no,,,,0
371,WO-2025214555-A1,no,,,,0
372,EP-4633595-A1,no,,,,0
373,EP-4634258-A1,no,,,,0
374,EP-4633838-A1,no,,,,0
375,EP-4629959-A1,no,,,,0
376,EP-4626392-A1,no,,,,0
377,EP-4634344-A1,no,,,,0
378,EP-4634123-A1,no,,,,0
379,EP-4634291-A1,no,,,,0
380,EP-4633802-A1,no,,,,0
381,EP-4634427-A1,no,,,,0
382,EP-4634205-A2,no,,,,0
383,EP-4633682-A1,no,,,,0
384,EP-4633833-A1,no,,,,0
385,EP-4633831-A1,no,,,,0
386,WO-2025215014-A1,no,,,,0
387,EP-4633951-A1,no,,,,0
388,EP-4633577-A1,no,,,,0
389,EP-4633628-A1,no,,,,0
390,EP-4633589-A1,no,,,,0
391,EP-4634092-A1,no,,,,0
392,WO-2025201644-A1,no,,,,0
393,EP-4633597-A1,no,,,,0
394,EP-4634420-A1,no,,,,0
395,EP-4633801-A1,no,,,,0
396,WO-2025202529-A1,no,,,,0
397,EP-4630546-A1,no,,,,0
398,EP-4634326-A1,no,,,,0
399,EP-4633790-A1,no,,,,0
400,EP-4634417-A1,no,,,,0
401,EP-4634221-A1,no,,,,0
402,EP-4634290-A1,no,,,,0
403,EP-4633584-A1,no,,,,0
404,EP-4633762-A1,no,,,,0
405,EP-4634109-A1,no,,,,0
406,EP-4634333-A1,no,,,,0
407,EP-4634515-A1,no,,,,0
408,EP-4634663-A1,no,,,,0
409,EP-4634634-A1,no,,,,0
410,WO-2025214639-A1,no,,,,0
411,EP-4634380-A1,no,,,,0
412,WO-2025202079-A1,no,,,,0
413,EP-4633789-A1,no,,,,0
414,EP-4634409-A2,no,,,,0
415,EP-4633777-A1,no,,,,0
416,EP-4634269-A1,no,,,,0
417,EP-4634332-A1,no,,,,0
418,EP-4626656-A1,no,,,,0
419,EP-4626961-A1,no,,,,0
420,EP-4633672-A2,no,,,,0
421,EP-4633864-A1,no,,,,0
422,EP-4633649-A1,no,,,,0
423,EP-4634295-A1,no,,,,0
424,EP-4634361-A1,no,,,,0
425,EP-4634188-A1,no,,,,0
426,WO-2025214660-A1,no,,,,0
427,EP-4634390-A2,no,,,,0
428,EP-4634256-A1,no,,,,0
429,EP-4633657-A1,no,,,,0
430,EP-4634191-A1,no,,,,0
431,EP-4634253-A1,no,,,,0
432,EP-4634124-A1,no,,,,0
433,EP-4634383-A1,no,,,,0
434,WO-2025213203-A1,no,,,,0
435,EP-4633624-A2,no,,,,0
436,WO-2025210079-A1,no,,,,0
437,EP-4634196-A1,no,,,,0
438,EP-4634335-A1,no,,,,0
439,EP-4633965-A1,no,,,,0
440,EP-4634311-A1,no,,,,0
441,EP-4633621-A1,no,,,,0
442,EP-4634186-A1,no,,,,0
443,WO-2025202111-A1,no,,,,0
444,EP-4626570-A1,no,,,,0
445,EP-4634227-A1,no,,,,0
446,EP-4633593-A1,no,,,,0
447,EP-4634314-A1,no,,,,0
448,EP-4633794-A1,no,,,,0
449,EP-4634428-A1,no,,,,0
450,EP-4634317-A1,no,,,,0
451,EP-4634230-A1,no,,,,0
452,EP-4633909-A1,no,,,,0
453,EP-4634386-A1,no,,,,0
454,WO-2025201827-A1,no,,,,0
455,EP-4633382-A1,no,,,,0
456,EP-4634598-A1,no,,,,0
457,EP-4634217-A1,no,,,,0
458,EP-4626999-A1,no,,,,0
459,EP-4635200-A1,no,,,,0
460,EP-4634338-A1,no,,,,0
461,EP-4634313-A1,no,,,,0
462,EP-4633922-A1,no,,,,0
463,EP-4633930-A1,no,,,,0
464,EP-4633641-A1,no,,,,0
465,WO-2025202352-A1,no,,,,0
466,EP-4634289-A1,no,,,,0
467,WO-2025214812-A1,no,,,,0
468,EP-4634164-A1,no,,,,0
469,EP-4633614-A1,no,,,,0
470,EP-4633555-A1,no,,,,0
471,EP-4630159-A1,no,,,,0
472,EP-4634218-A2,no,,,,0
473,EP-4634184-A1,no,,,,0
474,EP-4635013-A1,no,,,,0
475,EP-4633647-A1,no,,,,0
476,EP-4634319-A1,no,,,,0
477,EP-4634130-A1,no,,,,0
478,EP-4634308-A1,no,,,,0
479,EP-4634125-A1,no,,,,0
480,EP-4633796-A1,no,,,,0
481,EP-4633897-A1,no,,,,0
482,EP-4633381-A1,no,,,,0
483,EP-4634265-A1,no,,,,0
484,EP-4634384-A1,no,,,,0
485,EP-4634354-A1,no,,,,0
486,EP-4633583-A1,no,,,,0
487,EP-4633626-A1,no,,,,0
488,EP-4633972-A1,no,,,,0
489,EP-4633687-A1,no,,,,0
490,EP-4634127-A1,no,,,,0
491,EP-4633636-A1,no,,,,0
492,EP-4634647-A1,no,,,,0
493,WO-2025210081-A1,no,,,,0
494,EP-4634419-A1,no,,,,0
495,EP-4634144-A1,no,,,,0
496,WO-2025202696-A1,no,,,,0
497,EP-4633947-A1,no,,,,0
498,EP-4633463-A1,no,,,,0
499,EP-4634965-A1,no,,,,0
500,EP-4634422-A2,no,,,,0
